sample_rate_hz,mode,frequency_hz,measured_db,target_db,error_db,phase_deg
96000,F/H,80,2.72036985679,2.72036985679,-4.35207425653e-14,-5.11911034559
96000,F/H,125,2.40191732373,2.40191732373,-4.26325641456e-14,-6.91488269329
96000,F/H,250,1.53014684372,1.53014684372,-4.88498130835e-15,-7.88176142555
96000,F/H,500,0.722575457051,0.722575457051,-6.37268016135e-14,-4.0928884782
96000,F/H,1000,0.596848022647,0.596848022647,-3.96349619791e-14,2.14845054871
96000,F/H,2500,1.53014684372,1.53014684372,-3.37507799486e-14,7.88176142555
96000,F/H,5000,2.40825493559,2.40825493559,0,6.88992278267
96000,F/H,8000,2.74210510547,2.74210510547,-4.4408920985e-15,4.94071875696
96000,F/H,10000,2.8336159493,2.8336159493,-2.0872192863e-14,4.05056197269
96000,C/L,20,2.98054879667,2.98054879667,3.99680288865e-14,-1.5804683191
96000,C/L,40,2.92373521576,2.92373521576,-5.3290705182e-15,-3.09952519975
96000,C/L,80,2.71725373983,2.71725373983,-5.77315972805e-15,-5.75342736455
96000,C/L,125,2.39432138602,2.39432138602,-6.30606677987e-14,-7.90449553261
96000,C/L,250,1.5,1.5,-1.7763568394e-15,-9.84581257241
96000,C/L,500,0.605630386001,0.605630386001,-3.05311331772e-14,-7.90426043141
96000,C/L,1000,0.179277447763,0.179277447763,-1.13520304268e-14,-4.6677395238
96000,C/L,2500,0.0301468437228,0.0301468437228,-2.49904263949e-14,-1.96405114686
96000,C/L,5000,0.00749465697802,0.00749465697806,-4.23940396677e-14,-0.983009814825
96000,C/L,8000,0.00284999822591,0.00284999822592,-1.34961486431e-14,-0.606654002223
96000,C/L,10000,0.00177643220127,0.00177643220128,-9.64115939861e-15,-0.479038991162
96000,C/H,20,0.000194953800033,0.000194953800042,-9.64308385747e-15,0.158736542215
96000,C/H,40,0.000779657876232,0.000779657876255,-2.31418616908e-14,0.317410117716
96000,C/H,80,0.00311611695345,0.00311611695347,-2.31355733182e-14,0.634317018958
96000,C/H,125,0.00759593771262,0.00759593771264,-2.31238639348e-14,0.989612839319
96000,C/H,250,0.0301468437228,0.0301468437228,-1.92207361138e-14,1.96405114686
96000,C/H,500,0.11694507105,0.11694507105,-2.09277040142e-14,3.81137195321
96000,C/H,1000,0.417570574884,0.417570574884,-7.38298311376e-15,6.81619007251
96000,C/H,2500,1.5,1.5,-3.33066907388e-15,9.84581257241
96000,C/H,5000,2.40076027861,2.40076027861,-7.1054273576e-15,7.8729325975
96000,C/H,8000,2.73925510724,2.73925510724,-3.99680288865e-15,5.54737275919
96000,C/H,10000,2.8318395171,2.8318395171,2.6645352591e-15,4.52960096385
96000,T/L,20,-2.98035384287,-2.98035384287,-1.42996725572e-13,1.73920486132
96000,T/L,40,-2.92295555789,-2.92295555789,-1.50102152929e-13,3.41693531747
96000,T/L,80,-2.71413762288,-2.71413762288,-9.7699626167e-14,6.38774438351
96000,T/L,125,-2.38672544831,-2.38672544831,-7.1054273576e-14,8.89410837192
96000,T/L,250,-1.46985315628,-1.46985315628,-5.28466159722e-14,11.8098637193
96000,T/L,500,-0.488685314951,-0.488685314951,1.99840144433e-15,11.7156323846
96000,T/L,1000,0.238293127121,0.238293127121,4.69069227904e-14,11.4839295963
96000,T/L,2500,1.46985315628,1.46985315628,4.66293670343e-15,11.8098637193
96000,T/L,5000,2.39326562163,2.39326562163,-7.1054273576e-15,8.85594241232
96000,T/L,8000,2.73640510901,2.73640510901,3.99680288865e-15,6.15402676141
96000,T/L,10000,2.8300630849,2.8300630849,-2.62012633812e-14,5.00863995501
96000,T/H,20,-5.95838964346,-5.95838964346,-1.11022302463e-13,3.52786965509
96000,T/H,40,-5.83736844893,-5.83736844893,-1.29674049276e-13,6.91697072916
96000,T/H,80,-5.4033699141,-5.4033699141,-2.6645352591e-14,12.8463068722
96000,T/H,125,-4.73912151293,-4.73912151293,-2.6645352591e-15,17.7478239422
96000,T/H,250,-2.93619139966,-2.93619139966,-9.32587340685e-15,23.3891120425
96000,T/H,500,-0.998419923766,-0.998419923766,-5.08482145278e-14,23.4405905827
96000,T/H,1000,0.489315186972,0.489315186972,-9.10382880193e-15,23.048763914
96000,T/H,2500,2.93619139966,2.93619139966,9.7699626167e-15,23.3891120425
96000,T/H,5000,4.75223161369,4.75223161369,7.9936057773e-15,17.67392038
96000,T/H,8000,5.44921713912,5.44921713912,-2.6645352591e-15,12.3841869645
96000,T/H,10000,5.64314729063,5.64314729063,-2.93098878501e-14,10.1079432863
176400,F/L,20,5.95880175937,5.95880175937,-2.42472708578e-13,-3.20570261658
176400,F/L,40,5.83901684632,5.83901684632,-2.99316127439e-13,-6.2727717955
176400,F/L,80,5.40996153077,5.40996153077,-1.98063787593e-13,-11.5590016247
